College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
Sri Venkateswara University College of Engineering,Co-Ed,40 Acres,1514,52,1959,,"Sri Venkateswara University, Tirupati","BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Alumni Associations",Tirupati,Andhra Pradesh,India,Public/Government,47176.470588235294
National Institute of Technology Agartala ,Co-Ed,366 Acres,3489,104,1965,,,"BT_CSE, BT_ECE, BT_ME, BT_EE, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Agartala,Tripura,India,Public/Government,260783.7837837838
Dr APJ Abdul Kalam Technical University,Co-Ed,,,,2000,,,"BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE","Library, Sports, IT Infrastructure, Laboratories",Lucknow,Uttar Pradesh,India,Public/Government,316023.2727272727
GITAM University,Co-Ed,255 Acres,72259,847,1980,3.53,,"BT_CSE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, Transport, Banks Facilities",Visakhapatnam,Andhra Pradesh,India,Private,421933.8095238095
Koneru Lakshmaiah Education Foundation,Co-Ed,100 Acres,15544,978,2009,3.57,,"BT_CSE, BT_ECE, BT_CSE, BT_ME, BT_CE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Guntur,Andhra Pradesh,India,Private,471162.79069767444
Galgotias University,Co-Ed,52 Acres,13241,719,2011,,,"BT_ECE, BT_ME, BT_CE, BT_CSE, BT_EE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Alumni Associations",Greater Noida,Uttar Pradesh,India,Private,310501.3888888889
Kurukshetra University,Co-Ed,473 Acres,8099,590,1956,3.52,,"BT_CE, BT_CSE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations, Guest Room, Banks Facilities",Kurukshetra,Haryana,India,Public/Government,177177.98850574714
Guru Nanak Dev University,Co-Ed,500 Acres,9220,242,1969,3.51,,"BT_CSE, BT_ECE, BT_CSE, BT_CE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Parking Facility, Guest Room",Amritsar,Punjab,India,Public/Government,135126.71755725192
Cochin University of Science and Technology,Co-Ed,180 Acres,4096,378,1971,3.09,,"BT_CSE, BT_ECE, BT_CE, BT_ME, BT_CSE, BT_ECE, BT_CE, BT_CSE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kochi,Kerala,India,Public/Government,156140.39215686274
Haldia Institute of Technology,Co-Ed,37 Acres,4404,248,1996,3.31,"Maulana Abul Kalam Azad University of Technology, Kolkata","BT_ECE, BT_ME, BT_ChemE, BT_CE, BT_EE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Haldia,West Bengal,India,Private,284000.0
