College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
Jawaharlal Nehru Technological University,Co-Ed,155 Acres,5374,188,2008,,,"BT_ECE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Anantapur,Andhra Pradesh,India,Public/Government,198575.10040160644
Amity University,Co-Ed,100 Acres,2074,143,2010,,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Moot Court, Alumni Associations, Banks Facilities",Gwalior,Madhya Pradesh,India,Private,367992.8057553957
Quantum School of Technology,Co-Ed,,829,197,2008,,"Uttarakhand Technical University, Dehradun","BT_CE, BT_CSE, BT_ME, BT_ChemE, BT_EE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Roorkee,Uttarakhand,India,Private,344275.8620689655
Himachal Pradesh Technical University,Co-Ed,,139,,2010,,,"BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_ME, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ECE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_CE, BT_CE, BT_EE, BT_ECE, BT_ME, BT_ME, MT_CS","Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Laboratories, Alumni Associations",Hamirpur,Himachal Pradesh,India,Public/Government,206830.18867924527
Jai Narain Vyas University,Co-Ed,592 Acres,21314,385,1962,,,"BT_CE, BT_ME, BT_ECE, BT_EE, BT_CSE, BT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Laboratories",Jodhpur,Rajasthan,India,Public/Government,106006.0
Kavayitri Bahinabai Chaudhari North Maharashtra University,Co-Ed,646 Acres,2624,84,1990,3.05,,"BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ChemE, BT_EE, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Jalgaon,Maharashtra,India,Public/Government,154649.72602739726
Chhattisgarh Swami Vivekanand Technical University,Co-Ed,,70,,2005,,,"BT_CE, BT_CSE, BT_ME, BT_ME, BT_CE, BT_ME, BT_CE, BT_CSE, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_ME, BT_ME","Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure",Bhilai,Chhattisgarh,India,Public/Government,197656.92307692306
Swami Vivekanand University,Co-Ed,65 Acres,13645,246,2012,,,"BT_CE, BT_ECE, BT_ME, BT_CSE, BT_CE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Guest Room",Sironja,Madhya Pradesh,India,Private,67613.2183908046
Jaypee University of Engineering and Technology,Co-Ed,125 Acres,1396,326,2010,3.06,,"BT_CSE, BT_ME, BT_CE, BT_ECE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Chetabarri,Madhya Pradesh,India,Private,394818.1818181818
Aryabhatta Knowledge University,Co-Ed,,42,,2010,,,"BT_CE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME, BT_ECE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ECE, BT_ME","Library, Sports, IT Infrastructure, Laboratories",Patna,Bihar,India,Public/Government,179491.34453781514
Singhania University,Co-Ed,30 Acres,,,2007,,,"BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Alumni Associations",Rasoolpur,Rajasthan,India,Private,78124.56747404844
Institute of Engineering and Technology,Co-Ed,100 Acres,2500,63,1984,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Sitapur,Uttar Pradesh,India,Private,122500.0
Assam Science and Technology University,Co-Ed,,8,,2010,,,"BT_CSE, BT_CE, BT_CE, BT_ECE, BT_ME, BT_ME, BT_EE, BT_EE, BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Library, Sports, IT Infrastructure, Laboratories",Guwahati,Assam,India,Public/Government,172623.75
Ponnaiyah Ramajayam Institute of Science and Technology,Co-Ed,70 Acres,2247,204,1985,,,"BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Thanjavur,Tamil Nadu,India,Private,112492.06349206349
Dr KN Modi Institute of Engineering and Technology,Co-Ed,,1169,117,1995,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_CSE, BT_ME, BT_ChemE, BT_CE, BT_EE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations, Guest Room",Modinagar,Uttar Pradesh,India,Private,326100.0
Baba Ghulam Shah Badshah University,Co-Ed,,2494,174,2002,,,"BT_CE, BT_CSE, BT_ECE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Banks Facilities",Jammu,Jammu and Kashmir,India,Public/Government,133750.0
Baddi University of Emerging Sciences and Technology,Co-Ed,40 Acres,1348,59,2009,,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Banks Facilities",Baddi,Himachal Pradesh,India,Private,218031.3725490196
Mewar University,Co-Ed,30 Acres,1203,152,2008,,,"BT_CE, BT_CE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room",Chittorgarh,Rajasthan,India,Private,196701.49253731343
Raja Balwant Singh Engineering Technical Campus,Co-Ed,,1527,25,1996,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_CSE, BT_ECE, BT_ChemE, BT_CE, BT_EE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Bichpuri,Uttar Pradesh,India,Private,282928.5714285714
Mohammad Ali Jauhar University,Co-Ed,250 Acres,1760,60,2006,,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Alumni Associations, Banks Facilities",Rampur,Uttar Pradesh,India,Private,80170.09345794392
Mahatma Jyoti Rao Phoole University,Co-Ed,100 Acres,5459,,2009,,,"BT_ChemE, BT_CE, BT_EE, BT_ECE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kalwad Kalan and Khurd,Rajasthan,India,Private,125839.08045977012
Biju Patnaik University of Technology,Co-Ed,,157,9,2002,,,"BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CSE, BT_EE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_EE, BT_ME, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE","Library, IT Infrastructure, Laboratories",Rourkela,Odisha,India,Public/Government,247117.93893129771
Centurion Institute of Technology,Co-Ed,,,192,2008,,"Centurion University of Technology and Management, Paralakhemundi","BT_EE, BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure",Khurdha,Odisha,India,Private,360714.28571428574
Tripura University,Co-Ed,75 Acres,9338,172,1987,,,"BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Banks Facilities",Bikramnagar,Tripura,India,Public/Government,213348.53289473685
CMJ University,Co-Ed,40 Acres,595,,2009,,,"BT_ChemE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ME, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",Shillong,Meghalaya,India,Private,75955.59845559846
Maharaja Agrasen University,Co-Ed,19 Acres,1810,131,2013,,,"BT_CSE, BT_CSE, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_ECE, BT_ECE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Convenience Store, Banks Facilities",Solan,Himachal Pradesh,India,Private,255306.1224489796
Assam Don Bosco University,Co-Ed,300 Acres,2746,220,2006,,,"BT_CE, BT_CE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations",Guwahati,Assam,India,Private,251479.16666666666
Maharaja Ranjit Singh Punjab Technical University,Co-Ed,,2038,118,2015,,,"BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ME, BT_ME, BT_CSE, BT_CSE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CSE, BT_CSE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_EE, BT_ME, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Bathinda,Punjab,India,Public/Government,245559.96
SS College of Engineering,Co-Ed,40 Acres,1052,103,2008,,"Rajasthan Technical University, Kota","BT_ME, BT_CE, BT_CSE, BT_EE, BT_ChemE, BT_ECE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Umra,Rajasthan,India,Private,308000.0
SD College of Engineering and Technology,Co-Ed,,,98,1997,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_CSE, BT_EE, BT_ECE, BT_ME, BT_ChemE, BT_CE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Muzaffarnagar,Uttar Pradesh,India,Private,172000.0
Ansal University,Co-Ed,14 Acres,2172,150,2012,,,"BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME, BT_CE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Gurugram,Haryana,India,Private,731392.8571428572
Sri Sai University,Co-Ed,250 Acres,943,81,2011,,,"BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME, BT_CE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room, Banks Facilities",Gangoh,Himachal Pradesh,India,Private,184481.0810810811
Sunrise Group of Institutions,Co-Ed,11 Acres,,135,2003,,"Rajasthan Technical University, Kota","BT_CE, BT_ME, BT_ChemE, BT_CSE, BT_EE, BT_ECE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories",Udaipur,Rajasthan,India,Private,181692.3076923077
Stallion College For Engineering and Technology,Co-Ed,,,121,2010,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_ChemE, BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure",Chhutmalpur,Uttar Pradesh,India,Private,212000.0
