College Name,Courses,2021,2022,2023,2024
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ChemE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ChemE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ChemE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Shiv Nadar University,BT_ChemE,,,,
Shiv Nadar University, BT_CE,,,,
Shiv Nadar University, BT_CSE,,,,
Shiv Nadar University, BT_ECE,,,,
Shiv Nadar University, BT_ME,,,,
Shiv Nadar University, MT_ChemE,,,,
Sri Venkateswara University College of Engineering,BT_ChemE,,,,
Sri Venkateswara University College of Engineering, BT_CE,,,,
Sri Venkateswara University College of Engineering, BT_CSE,,,,
Sri Venkateswara University College of Engineering, BT_ECE,,,,
Sri Venkateswara University College of Engineering, BT_ME,,,,
Sri Venkateswara University College of Engineering, MT_ChemE,,,,
National Institute of Technology Agartala ,BT_CSE,,,,
National Institute of Technology Agartala , BT_ECE,,,,
National Institute of Technology Agartala , BT_ME,,,,
National Institute of Technology Agartala , BT_EE,,,,
National Institute of Technology Agartala , BT_CE,,,,
National Institute of Technology Agartala , BT_ChemE,,,,
National Institute of Technology Agartala , MT_ChemE,,,,
Dr APJ Abdul Kalam Technical University,BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_ECE,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_ME,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
Dr APJ Abdul Kalam Technical University, BT_CSE,,,,
